# Predicted Classes for Played Sounds

# Predicted Classes for Played Sounds

Sound #96: Predicted class: gunshot
Sound #97: Predicted class: fireworks
Sound #98: Predicted class: fireworks
Sound #99: Predicted class: fireworks
Sound #100: Predicted class: fireworks
Sound #101: Predicted class: fireworks
Sound #102: Predicted class: fireworks
Sound #103: Predicted class: fireworks
Sound #104: Predicted class: gunshot
Sound #105: Predicted class: gunshot
Sound #106: Predicted class: fireworks
Sound #107: Predicted class: fireworks
Sound #108: Predicted class: fireworks
Sound #109: Predicted class: fireworks
Sound #110: Predicted class: fireworks
Sound #111: Predicted class: fireworks
Sound #112: Predicted class: fireworks
Sound #113: Predicted class: fireworks
Sound #114: Predicted class: fireworks
Sound #115: Predicted class: fireworks
Sound #116: Predicted class: fireworks
Sound #117: Predicted class: fireworks
Sound #118: Predicted class: fireworks
Sound #119: Predicted class: gunshot
Sound #120: Predicted class: gunshot
Sound #121: Predicted class: gunshot
Sound #123: Predicted class: fireworks
Sound #124: Predicted class: fireworks
Sound #125: Predicted class: fireworks
Sound #126: Predicted class: gunshot
Sound #127: Predicted class: fireworks
Sound #128: Predicted class: fireworks
Sound #129: Predicted class: fireworks
Sound #130: Predicted class: fireworks
Sound #131: Predicted class: fireworks
Sound #132: Predicted class: fireworks
Sound #133: Predicted class: fireworks
Sound #134: Predicted class: fireworks
Sound #135: Predicted class: fireworks
Sound #136: Predicted class: gunshot
Sound #138: Predicted class: gunshot
Sound #139: Predicted class: fireworks
Sound #140: Predicted class: fireworks
Sound #141: Predicted class: gunshot
Sound #142: Predicted class: fireworks
Sound #143: Predicted class: fireworks
Sound #144: Predicted class: gunshot
Sound #145: Predicted class: fireworks
Sound #146: Predicted class: fireworks
Sound #147: Predicted class: fireworks
Sound #149: Predicted class: fireworks
Sound #150: Predicted class: fireworks
Sound #151: Predicted class: gunshot
Sound #152: Predicted class: gunshot
Sound #153: Predicted class: fireworks
Sound #154: Predicted class: fireworks
Sound #155: Predicted class: fireworks
Sound #157: Predicted class: fireworks
Sound #158: Predicted class: fireworks
Sound #160: Predicted class: gunshot
Sound #161: Predicted class: fireworks
Sound #162: Predicted class: fireworks
Sound #163: Predicted class: fireworks
Sound #164: Predicted class: fireworks
Sound #165: Predicted class: fireworks
# Predicted Classes for Played Sounds

Sound #1: Predicted class: Chainsaw
Sound #2: Predicted class: Chainsaw
Sound #3: Predicted class: Chainsaw
Sound #4: Predicted class: Chainsaw
Sound #5: Predicted class: Chainsaw
Sound #6: Predicted class: Chainsaw
Sound #7: Predicted class: Chainsaw
Sound #8: Predicted class: Chainsaw
Sound #9: Predicted class: Chainsaw
Sound #10: Predicted class: Chainsaw
Sound #11: Predicted class: fireworks
Sound #12: Predicted class: fireworks
Sound #13: Predicted class: fireworks
Sound #14: Predicted class: gunshot
Sound #15: Predicted class: gunshot
Sound #16: Predicted class: gunshot
Sound #17: Predicted class: fireworks
Sound #18: Predicted class: fireworks
Sound #19: Predicted class: fireworks
Sound #24: Predicted class: gunshot
Sound #27: Predicted class: Chainsaw
Sound #28: Predicted class: Chainsaw
Sound #29: Predicted class: Chainsaw
Sound #30: Predicted class: Chainsaw
Sound #31: Predicted class: Chainsaw
Sound #32: Predicted class: Chainsaw
Sound #33: Predicted class: Chainsaw
Sound #34: Predicted class: Chainsaw
Sound #35: Predicted class: Chainsaw
Sound #36: Predicted class: Chainsaw
Sound #37: Predicted class: Chainsaw
Sound #38: Predicted class: Chainsaw
# Predicted Classes for Played Sounds

# Predicted Classes for Played Sounds

Sound #1: Predicted class: Chainsaw
Sound #2: Predicted class: Chainsaw
Sound #3: Predicted class: Chainsaw
Sound #4: Predicted class: Chainsaw
Sound #5: Predicted class: Chainsaw
Sound #6: Predicted class: Chainsaw
Sound #7: Predicted class: Chainsaw
Sound #8: Predicted class: Chainsaw
Sound #9: Predicted class: Chainsaw
Sound #10: Predicted class: Chainsaw
Sound #11: Predicted class: gunshot
Sound #13: Predicted class: fireworks
Sound #18: Predicted class: fireworks
Sound #21: Predicted class: gunshot
Sound #22: Predicted class: gunshot
Sound #24: Predicted class: fire
Sound #27: Predicted class: gunshot
Sound #29: Predicted class: Chainsaw
Sound #30: Predicted class: gunshot
Sound #31: Predicted class: gunshot
Sound #32: Predicted class: gunshot
Sound #37: Predicted class: Chainsaw
Sound #39: Predicted class: fire
Sound #42: Predicted class: fire
Sound #47: Predicted class: gunshot
Sound #50: Predicted class: gunshot
Sound #55: Predicted class: fireworks
Sound #56: Predicted class: fireworks
Sound #57: Predicted class: fireworks
Sound #59: Predicted class: fireworks
Sound #60: Predicted class: fireworks
Sound #61: Predicted class: fireworks
Sound #63: Predicted class: fireworks
Sound #64: Predicted class: fireworks
Sound #65: Predicted class: fireworks
Sound #68: Predicted class: Chainsaw
Sound #70: Predicted class: Chainsaw
Sound #71: Predicted class: Chainsaw
# Predicted Classes for Played Sounds

Sound #1: Predicted class: Chainsaw
Sound #2: Predicted class: Chainsaw
# Predicted Classes for Played Sounds

Sound #1: Predicted class: Chainsaw
Sound #2: Predicted class: Chainsaw
Sound #3: Predicted class: Chainsaw
Sound #4: Predicted class: Chainsaw
Sound #5: Predicted class: Chainsaw
Sound #6: Predicted class: Chainsaw
Sound #7: Predicted class: Chainsaw
Sound #8: Predicted class: Chainsaw
Sound #9: Predicted class: Chainsaw
Sound #10: Predicted class: Chainsaw
Sound #11: Predicted class: Chainsaw
# Predicted Classes for Played Sounds

Sound #1: Predicted class: Chainsaw
Sound #2: Predicted class: Chainsaw
Sound #3: Predicted class: Chainsaw
Sound #4: Predicted class: Chainsaw
Sound #5: Predicted class: Chainsaw
# Predicted Classes for Played Sounds

Sound #1: Predicted class: gunshot
Sound #2: Predicted class: gunshot
Sound #3: Predicted class: gunshot
Sound #4: Predicted class: gunshot
Sound #5: Predicted class: gunshot
Sound #6: Predicted class: gunshot
Sound #7: Predicted class: gunshot
Sound #8: Predicted class: gunshot
Sound #9: Predicted class: gunshot
Sound #10: Predicted class: gunshot
Sound #11: Predicted class: fireworks
Sound #12: Predicted class: fireworks
Sound #13: Predicted class: fireworks
Sound #15: Predicted class: gunshot
Sound #16: Predicted class: gunshot
Sound #17: Predicted class: gunshot
Sound #18: Predicted class: gunshot
Sound #19: Predicted class: gunshot
Sound #22: Predicted class: fireworks
Sound #23: Predicted class: gunshot
Sound #24: Predicted class: fireworks
Sound #25: Predicted class: gunshot
Sound #26: Predicted class: gunshot
Sound #27: Predicted class: gunshot
Sound #28: Predicted class: gunshot
Sound #29: Predicted class: gunshot
Sound #30: Predicted class: gunshot
Sound #32: Predicted class: gunshot
Sound #34: Predicted class: gunshot
Sound #35: Predicted class: gunshot
Sound #36: Predicted class: gunshot
Sound #37: Predicted class: gunshot
Sound #38: Predicted class: fireworks
Sound #39: Predicted class: fireworks
Sound #40: Predicted class: fireworks
